2025-11-26 10:55:22 | [FAILED] | 通信 | [GJDD-750] 错误: 接收超时
2025-11-26 10:55:23 | [SUCCESS] | 通信 | [GJDD-750] TX: EE 01 0F 03 00 13 EF
2025-11-26 10:55:26 | [FAILED] | 通信 | [GJDD-750] 错误: 接收超时
2025-11-26 10:55:27 | [SUCCESS] | 通信 | [GJDD-750] TX: EE 01 0F 03 00 13 EF
2025-11-26 10:55:30 | [FAILED] | 通信 | [GJDD-750] 错误: 接收超时
2025-11-26 10:55:31 | [SUCCESS] | 通信 | [GJDD-750] TX: EE 01 0F 03 00 13 EF
2025-11-26 10:55:34 | [FAILED] | 通信 | [GJDD-750] 错误: 接收超时
2025-11-26 10:55:35 | [SUCCESS] | 通信 | [GJDD-750] TX: EE 01 0F 03 00 13 EF
2025-11-26 10:55:38 | [FAILED] | 通信 | [GJDD-750] 错误: 接收超时
2025-11-26 10:55:39 | [SUCCESS] | 通信 | [GJDD-750] TX: EE 01 0F 03 00 13 EF
2025-11-26 10:55:42 | [FAILED] | 通信 | [GJDD-750] 错误: 接收超时
2025-11-26 10:55:43 | [SUCCESS] | 通信 | [GJDD-750] TX: EE 01 0F 03 00 13 EF
2025-11-26 10:55:46 | [FAILED] | 通信 | [GJDD-750] 错误: 接收超时
2025-11-26 10:55:47 | [SUCCESS] | 通信 | [GJDD-750] TX: EE 01 0F 03 00 13 EF
2025-11-26 10:55:50 | [FAILED] | 通信 | [GJDD-750] 错误: 接收超时
2025-11-26 10:55:51 | [SUCCESS] | 通信 | [GJDD-750] TX: EE 01 0F 03 00 13 EF
2025-11-26 10:55:54 | [FAILED] | 通信 | [GJDD-750] 错误: 接收超时
2025-11-26 10:55:55 | [SUCCESS] | 通信 | [GJDD-750] TX: EE 01 0F 03 00 13 EF
2025-11-26 10:55:55 | [FAILED] | 通信 | [GJDD-750] 错误: 无法将数据写入传输连接: 你的主机中的软件中止了一个已建立的连接。。
2025-11-26 10:56:13 | [SUCCESS] | 连接 | 设备已断开
2025-11-26 10:56:14 | [SUCCESS] | 连接 | 正在连接设备 (VDC32)...
2025-11-26 10:56:14 | [SUCCESS] | 通信 | [VDC-32] TCP连接成功: 192.168.1.181:10040
2025-11-26 10:56:14 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 10 20
2025-11-26 10:56:14 | [SUCCESS] | 连接 | VDC-32 连接成功
2025-11-26 10:56:17 | [FAILED] | 通信 | [VDC-32] 错误: 等待响应超时
2025-11-26 10:56:17 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 30 20
2025-11-26 10:56:20 | [FAILED] | 通信 | [VDC-32] 错误: 等待响应超时
2025-11-26 10:56:20 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 05 02
2025-11-26 10:56:23 | [FAILED] | 通信 | [VDC-32] 错误: 等待响应超时
2025-11-26 10:56:25 | [SUCCESS] | 通信 | [VDC-32] 连接已手动断开
2025-11-26 10:56:25 | [SUCCESS] | 连接 | 设备已断开
2025-11-26 11:02:34 | [SUCCESS] | 连接 | 正在连接设备 (VDC32)...
2025-11-26 11:02:34 | [SUCCESS] | 通信 | [VDC-32] 串口连接成功: COM1, 波特率: 57600
2025-11-26 11:02:34 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 10 20
2025-11-26 11:02:34 | [SUCCESS] | 连接 | VDC-32 连接成功
2025-11-26 11:02:34 | [SUCCESS] | 通信 | [VDC-32] RX: 
2025-11-26 11:02:34 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 30 20
2025-11-26 11:02:34 | [SUCCESS] | 通信 | [VDC-32] RX: 
2025-11-26 11:02:34 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 05 02
2025-11-26 11:02:34 | [SUCCESS] | 通信 | [VDC-32] RX: 
2025-11-26 11:02:35 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 10 20
2025-11-26 11:02:35 | [SUCCESS] | 通信 | [VDC-32] RX: 
2025-11-26 11:02:35 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 30 20
2025-11-26 11:02:35 | [SUCCESS] | 通信 | [VDC-32] RX: 
2025-11-26 11:02:35 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 05 02
